scenario_id,run_number,valid,platform,environment_id,fixture_id,style_profile,leaf_count,feature_mask,duration_ms,templar_total_measured_ms,refresh_all_count,refresh_file_count,refresh_leaf_count,paginate_count,reading_reconcile_count,mutation_callback_count,resize_callback_count,templar_raf_count,frame_gap_p95_ms,frame_gap_max_ms,long_task_count,long_task_total_ms,heap_start_bytes,heap_end_bytes,thermal_start,thermal_end,battery_start_percent,battery_end_percent,notes
C-reading-100-run-2,2,true,cli,synthetic-happy-dom,F005-100,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",81.57958299999996,8.463416999999936,1,,1,1,1,,,,63,63,0,0,,,,,,,raw/C-reading-scaling/C-reading-100__run-2.templar-perf.json
C-reading-100-run-3,3,true,cli,synthetic-happy-dom,F005-100,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",86.90116700000021,7.664125000000013,1,,1,1,1,,,,69,69,0,0,,,,,,,raw/C-reading-scaling/C-reading-100__run-3.templar-perf.json
C-reading-500-run-1,1,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",397.063666,35.37699999999995,1,,1,1,1,,,,326,326,0,0,,,,,,,raw/C-reading-scaling/C-reading-500__run-1.templar-perf.json
C-reading-500-run-2,2,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",406.93124999999986,35.255499999999984,1,,1,1,1,,,,336,336,0,0,,,,,,,raw/C-reading-scaling/C-reading-500__run-2.templar-perf.json
C-reading-500-run-3,3,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",383.78099999999995,34.75670800000012,1,,1,1,1,,,,315,315,0,0,,,,,,,raw/C-reading-scaling/C-reading-500__run-3.templar-perf.json
E-paged-vs-pageless-F002-paged-grid-run-1,1,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",127.45875000000001,32.37875000000008,1,,1,1,1,,,,91,91,0,0,,,,,,,raw/E-paged-vs-pageless/E-paged-vs-pageless-F002-paged-grid__run-1.templar-perf.json
E-paged-vs-pageless-F002-paged-grid-run-2,2,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",133.7728330000001,32.512042000000065,1,,1,1,1,,,,94,94,0,0,,,,,,,raw/E-paged-vs-pageless/E-paged-vs-pageless-F002-paged-grid__run-2.templar-perf.json
E-paged-vs-pageless-F002-paged-grid-run-3,3,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",187.7706250000001,91.21829200000013,1,,1,1,1,,,,92,92,0,0,,,,,,,raw/E-paged-vs-pageless/E-paged-vs-pageless-F002-paged-grid__run-3.templar-perf.json
L-multileaf-3-run-1,1,true,cli,synthetic-happy-dom,F002,S6,3,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",871.0007499999997,213.89124900000024,1,,3,3,3,,,,645,645,0,0,,,,,,,raw/L-multileaf/L-multileaf-3__run-1.templar-perf.json
L-multileaf-3-run-2,2,true,cli,synthetic-happy-dom,F002,S6,3,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",751.4060420000001,113.45991700000013,1,,3,3,3,,,,625,625,0,0,,,,,,,raw/L-multileaf/L-multileaf-3__run-2.templar-perf.json
L-multileaf-3-run-3,3,true,cli,synthetic-happy-dom,F002,S6,3,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",840.1119170000002,157.1564999999996,1,,3,3,3,,,,670,670,0,0,,,,,,,raw/L-multileaf/L-multileaf-3__run-3.templar-perf.json
ablation-no-ImageSnap-run-1,1,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":false}",125.12820899999952,30.903542000000016,1,,1,1,1,,,,88,88,0,0,,,,,,,raw/ablation/ablation-no-ImageSnap__run-1.templar-perf.json
ablation-no-ImageSnap-run-2,2,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":false}",112.4060000000004,26.252750000000106,1,,1,1,1,,,,81,81,0,0,,,,,,,raw/ablation/ablation-no-ImageSnap__run-2.templar-perf.json
ablation-no-ImageSnap-run-3,3,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":false}",130.77937500000007,26.096709000000374,1,,1,1,1,,,,97,97,0,0,,,,,,,raw/ablation/ablation-no-ImageSnap__run-3.templar-perf.json
ablation-no-PageLayout-run-1,1,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":false,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",51.89295799999991,24.690291999999772,1,,1,,1,,,,2,2,0,0,,,,,,,raw/ablation/ablation-no-PageLayout__run-1.templar-perf.json
ablation-no-PageLayout-run-2,2,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":false,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",54.136417000000165,26.749874999999975,1,,1,,1,,,,2,2,0,0,,,,,,,raw/ablation/ablation-no-PageLayout__run-2.templar-perf.json
ablation-no-PageLayout-run-3,3,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":false,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",56.567375000000084,28.746791999999914,1,,1,,1,,,,2,2,0,0,,,,,,,raw/ablation/ablation-no-PageLayout__run-3.templar-perf.json
ablation-no-PaperOrigin-run-1,1,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":false,""variableRhythm"":true,""imageSnap"":true}",126.4808750000002,29.125958999999966,1,,1,1,1,,,,93,93,0,0,,,,,,,raw/ablation/ablation-no-PaperOrigin__run-1.templar-perf.json
ablation-no-PaperOrigin-run-2,2,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":false,""variableRhythm"":true,""imageSnap"":true}",115.13850000000002,24.43679199999997,1,,1,1,1,,,,87,87,0,0,,,,,,,raw/ablation/ablation-no-PaperOrigin__run-2.templar-perf.json
ablation-no-PaperOrigin-run-3,3,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":false,""variableRhythm"":true,""imageSnap"":true}",219.41508300000032,33.55320800000027,1,,1,1,1,,,,183,183,0,0,,,,,,,raw/ablation/ablation-no-PaperOrigin__run-3.templar-perf.json
ablation-no-ReadingWhitespace-run-1,1,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":false,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",283.5360840000003,42.56858300000022,1,,1,1,,,,,229,229,0,0,,,,,,,raw/ablation/ablation-no-ReadingWhitespace__run-1.templar-perf.json
ablation-no-ReadingWhitespace-run-2,2,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":false,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",238.34699999999975,41.001666000000114,1,,1,1,,,,,186,186,0,0,,,,,,,raw/ablation/ablation-no-ReadingWhitespace__run-2.templar-perf.json
ablation-no-ReadingWhitespace-run-3,3,true,cli,synthetic-happy-dom,F005-500,S6,1,"{""pageLayout"":true,""readingWhitespace"":false,""paperOrigin"":true,""variableRhythm"":true,""imageSnap"":true}",295.81058299999995,35.78020900000001,1,,1,1,,,,,243,243,0,0,,,,,,,raw/ablation/ablation-no-ReadingWhitespace__run-3.templar-perf.json
ablation-no-VariableRhythm-run-1,1,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":false,""imageSnap"":true}",100.7334579999997,5.906457999999475,1,,1,1,1,,,,93,93,0,0,,,,,,,raw/ablation/ablation-no-VariableRhythm__run-1.templar-perf.json
ablation-no-VariableRhythm-run-2,2,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":false,""imageSnap"":true}",88.95887500000026,5.373291999999765,1,,1,1,1,,,,82,82,0,0,,,,,,,raw/ablation/ablation-no-VariableRhythm__run-2.templar-perf.json
ablation-no-VariableRhythm-run-3,3,true,cli,synthetic-happy-dom,F002,S6,1,"{""pageLayout"":true,""readingWhitespace"":true,""paperOrigin"":true,""variableRhythm"":false,""imageSnap"":true}",114.93412499999977,5.431624999999713,1,,1,1,1,,,,108,108,0,0,,,,,,,raw/ablation/ablation-no-VariableRhythm__run-3.templar-perf.json
